Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Year
United States,0.489,0.07,0.208,0.132,0.015,0.086,2016
Alabama,0.469,0.067,0.201,0.151,0.02,0.092,2016
Alaska,0.47,0.045,0.193,0.08,0.067,0.145,2016
Arizona,0.433,0.066,0.235,0.151,0.016,0.1,2016
Arkansas,0.42,0.068,0.267,0.15,0.016,0.08,2016
California,0.463,0.075,0.272,0.106,0.01,0.074,2016
Colorado,0.505,0.081,0.194,0.12,0.023,0.077,2016
Connecticut,0.546,0.062,0.202,0.133,0.007,0.049,2016
Delaware,0.525,0.057,0.194,0.155,0.012,0.058,2016
District of Columbia,0.52,0.067,0.285,0.075,0.012,0.04,2016
Florida,0.393,0.101,0.19,0.172,0.019,0.125,2016
Georgia,0.475,0.074,0.179,0.118,0.024,0.129,2016
Hawaii,0.554,0.046,0.176,0.139,0.051,0.035,2016
Idaho,0.472,0.104,0.168,0.138,0.015,0.103,2016
Illinois,0.531,0.067,0.203,0.127,0.006,0.065,2016
Indiana,0.533,0.058,0.179,0.141,0.008,0.081,2016
Iowa,0.543,0.068,0.196,0.144,0.008,0.04,2016
Kansas,0.536,0.083,0.139,0.134,0.023,0.084,2016
Kentucky,0.462,0.052,0.267,0.15,0.017,0.052,2016
Louisiana,0.433,0.071,0.253,0.127,0.015,0.102,2016
Maine,0.479,0.073,0.194,0.16,0.016,0.079,2016
Maryland,0.557,0.063,0.178,0.122,0.019,0.061,2016
Massachusetts,0.556,0.053,0.239,0.121,0.006,0.025,2016
Michigan,0.507,0.059,0.226,0.148,0.006,0.053,2016
Minnesota,0.562,0.073,0.179,0.137,0.007,0.042,2016
Mississippi,0.422,0.06,0.248,0.133,0.019,0.118,2016
Missouri,0.517,0.078,0.146,0.154,0.015,0.09,2016
Montana,0.434,0.096,0.205,0.159,0.023,0.084,2016
Nebraska,0.55,0.086,0.128,0.129,0.017,0.089,2016
Nevada,0.482,0.065,0.193,0.131,0.018,0.111,2016
New Hampshire,0.574,0.059,0.135,0.159,0.01,0.064,2016
New Jersey,0.559,0.057,0.174,0.128,0.01,0.077,2016
New Mexico,0.369,0.05,0.325,0.141,0.025,0.09,2016
New York,0.492,0.059,0.264,0.119,0.005,0.061,2016
North Carolina,0.455,0.082,0.187,0.144,0.027,0.105,2016
North Dakota,0.556,0.099,0.111,0.13,0.026,0.078,2016
Ohio,0.523,0.049,0.213,0.151,0.009,0.056,2016
Oklahoma,0.45,0.066,0.182,0.145,0.019,0.138,2016
Oregon,0.468,0.076,0.233,0.152,0.009,0.062,2016
Pennsylvania,0.515,0.067,0.199,0.155,0.006,0.058,2016
Rhode Island,0.52,0.069,0.22,0.141,0.008,0.042,2016
South Carolina,0.453,0.068,0.201,0.155,0.024,0.099,2016
South Dakota,0.527,0.085,0.142,0.14,0.024,0.083,2016
Tennessee,0.466,0.068,0.213,0.143,0.019,0.091,2016
Texas,0.47,0.069,0.175,0.102,0.018,0.166,2016
Utah,0.601,0.093,0.117,0.093,0.011,0.085,2016
Vermont,0.481,0.058,0.267,0.15,0.008,0.036,2016
Virginia,0.54,0.072,0.115,0.138,0.047,0.088,2016
Washington,0.509,0.065,0.213,0.13,0.025,0.059,2016
West Virginia,0.434,0.036,0.287,0.182,0.011,0.049,2016
Wisconsin,0.558,0.062,0.175,0.143,0.009,0.052,2016
Wyoming,0.521,0.087,0.126,0.13,0.027,0.11,2016
Puerto Rico,0.242,0.078,0.482,0.13,0.01,0.064,2016
