Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Year
United States,0.494,0.062,0.204,0.138,0.014,0.089,2018
Alabama,0.47,0.054,0.195,0.159,0.02,0.102,2018
Alaska,0.481,0.037,0.213,0.094,0.054,0.12,2018
Arizona,0.445,0.054,0.224,0.156,0.015,0.106,2018
Arkansas,0.419,0.056,0.273,0.156,0.014,0.083,2018
California,0.474,0.072,0.263,0.109,0.01,0.072,2018
Colorado,0.521,0.072,0.185,0.125,0.021,0.077,2018
Connecticut,0.539,0.054,0.206,0.139,0.007,0.053,2018
Delaware,0.499,0.047,0.214,0.17,0.012,0.058,2018
District of Columbia,0.529,0.071,0.277,0.083,0.008,0.032,2018
Florida,0.4,0.097,0.18,0.174,0.018,0.132,2018
Georgia,0.486,0.057,0.174,0.122,0.023,0.138,2018
Hawaii,0.546,0.046,0.175,0.147,0.048,0.039,2018
Idaho,0.471,0.087,0.166,0.146,0.019,0.111,2018
Illinois,0.542,0.056,0.19,0.135,0.006,0.071,2018
Indiana,0.539,0.047,0.176,0.146,0.008,0.085,2018
Iowa,0.544,0.055,0.194,0.15,0.009,0.049,2018
Kansas,0.547,0.062,0.141,0.141,0.023,0.087,2018
Kentucky,0.469,0.042,0.265,0.153,0.015,0.056,2018
Louisiana,0.424,0.053,0.293,0.135,0.015,0.079,2018
Maine,0.484,0.064,0.184,0.172,0.016,0.078,2018
Maryland,0.556,0.054,0.185,0.127,0.019,0.06,2018
Massachusetts,0.553,0.056,0.232,0.126,0.005,0.027,2018
Michigan,0.51,0.052,0.224,0.155,0.006,0.054,2018
Minnesota,0.574,0.055,0.179,0.141,0.007,0.043,2018
Mississippi,0.434,0.052,0.234,0.141,0.016,0.123,2018
Missouri,0.523,0.058,0.15,0.161,0.015,0.094,2018
Montana,0.44,0.072,0.212,0.175,0.02,0.081,2018
Nebraska,0.552,0.073,0.133,0.14,0.018,0.085,2018
Nevada,0.483,0.054,0.193,0.137,0.019,0.114,2018
New Hampshire,0.575,0.05,0.141,0.171,0.011,0.052,2018
New Jersey,0.566,0.055,0.167,0.133,0.01,0.074,2018
New Mexico,0.366,0.043,0.329,0.15,0.019,0.093,2018
New York,0.494,0.059,0.263,0.127,0.01,0.053,2018
North Carolina,0.469,0.065,0.182,0.148,0.027,0.109,2018
North Dakota,0.569,0.083,0.115,0.133,0.023,0.077,2018
Ohio,0.519,0.046,0.207,0.154,0.009,0.065,2018
Oklahoma,0.46,0.058,0.176,0.147,0.021,0.137,2018
Oregon,0.476,0.065,0.221,0.156,0.01,0.072,2018
Pennsylvania,0.523,0.054,0.202,0.159,0.006,0.056,2018
Rhode Island,0.52,0.054,0.235,0.142,0.008,0.04,2018
South Carolina,0.453,0.061,0.195,0.164,0.023,0.105,2018
South Dakota,0.517,0.083,0.133,0.149,0.024,0.094,2018
Tennessee,0.466,0.058,0.206,0.148,0.02,0.102,2018
Texas,0.472,0.06,0.169,0.105,0.017,0.177,2018
Utah,0.605,0.091,0.101,0.1,0.013,0.09,2018
Vermont,0.491,0.063,0.232,0.165,0.008,0.041,2018
Virginia,0.543,0.063,0.119,0.145,0.044,0.087,2018
Washington,0.516,0.055,0.209,0.135,0.02,0.065,2018
West Virginia,0.441,0.032,0.264,0.188,0.013,0.062,2018
Wisconsin,0.565,0.053,0.166,0.152,0.008,0.055,2018
Wyoming,0.553,0.069,0.102,0.15,0.02,0.106,2018
Puerto Rico,0.235,0.08,0.479,0.135,0.006,0.064,2018
